iter	Passed	Remaining
422	2183	23627
423	2189	23624
424	2194	23625
425	2199	23617
426	2205	23617
427	2211	23619
428	2216	23614
429	2222	23615
430	2227	23617
431	2232	23609
432	2238	23606
433	2243	23602
434	2248	23601
435	2254	23597
436	2259	23590
437	2264	23581
438	2269	23580
439	2274	23575
440	2279	23567
441	2285	23565
442	2290	23560
443	2295	23553
444	2300	23551
445	2306	23547
446	2311	23542
447	2316	23539
448	2321	23534
449	2326	23527
450	2332	23522
451	2337	23516
452	2342	23510
453	2347	23502
454	2352	23500
455	2357	23494
456	2362	23488
457	2368	23487
458	2373	23483
459	2379	23480
460	2384	23479
461	2389	23473
462	2394	23467
463	2400	23466
464	2405	23462
465	2410	23455
466	2416	23452
467	2421	23449
468	2426	23446
469	2432	23442
470	2437	23440
471	2443	23436
472	2448	23435
473	2453	23430
474	2458	23424
475	2464	23420
476	2469	23416
477	2474	23409
478	2479	23404
479	2484	23399
480	2490	23393
481	2495	23391
482	2500	23386
483	2505	23380
484	2511	23375
485	2516	23372
486	2521	23366
487	2526	23362
488	2531	23356
489	2536	23349
490	2542	23345
491	2547	23340
492	2552	23332
493	2557	23326
494	2562	23323
495	2567	23316
496	2572	23310
497	2578	23308
498	2583	23304
499	2588	23300
500	2594	23299
501	2599	23294
502	2604	23287
503	2610	23284
504	2615	23279
505	2620	23273
506	2626	23273
507	2631	23269
508	2636	23262
509	2641	23258
510	2647	23256
511	2652	23253
512	2658	23250
513	2663	23246
514	2669	23245
515	2674	23240
516	2679	23236
517	2684	23231
518	2690	23226
519	2695	23220
520	2700	23214
521	2705	23209
522	2710	23204
523	2715	23197
524	2720	23192
525	2725	23186
526	2731	23182
527	2736	23176
528	2741	23170
529	2746	23165
530	2751	23159
531	2757	23155
532	2762	23151
533	2767	23146
534	2773	23143
535	2778	23137
536	2783	23130
537	2788	23126
538	2793	23120
539	2798	23113
540	2803	23110
541	2809	23105
542	2814	23099
543	2819	23095
544	2825	23093
545	2830	23090
546	2836	23087
547	2841	23087
548	2847	23085
549	2852	23081
550	2858	23079
551	2863	23075
552	2868	23071
553	2874	23069
554	2880	23066
555	2885	23066
556	2891	23065
557	2896	23061
558	2902	23060
559	2908	23058
560	2913	23054
561	2918	23048
562	2923	23042
563	2928	23036
564	2934	23031
565	2939	23024
566	2944	23019
567	2949	23014
568	2954	23008
569	2959	23002
570	2965	23002
571	2970	22996
572	2975	22990
573	2981	22986
574	2986	22980
575	2991	22974
576	2996	22972
577	3002	22970
578	3007	22964
579	3012	22959
580	3017	22953
581	3022	22945
582	3028	22943
583	3034	22944
584	3039	22941
585	3045	22936
586	3050	22931
587	3055	22926
588	3060	22921
589	3065	22914
590	3070	22907
591	3075	22901
592	3080	22895
593	3085	22890
594	3091	22886
595	3096	22881
596	3101	22874
597	3106	22867
598	3111	22862
599	3116	22855
600	3121	22848
601	3126	22842
602	3131	22837
603	3137	22834
604	3142	22828
605	3147	22824
606	3153	22819
607	3158	22814
608	3163	22808
609	3168	22802
610	3173	22797
611	3178	22792
612	3184	22788
613	3189	22784
614	3194	22779
615	3200	22775
616	3205	22770
617	3210	22765
618	3215	22758
619	3220	22753
620	3226	22749
621	3231	22746
622	3236	22740
623	3242	22736
624	3247	22734
625	3252	22728
626	3258	22724
627	3263	22719
628	3268	22713
629	3273	22709
630	3278	22702
631	3283	22696
632	3289	22690
633	3293	22683
634	3299	22677
635	3304	22672
636	3309	22665
637	3314	22659
638	3319	22655
639	3324	22649
640	3329	22643
641	3334	22638
642	3339	22631
643	3345	22625
644	3350	22620
645	3355	22614
646	3360	22608
647	3365	22603
648	3370	22597
649	3375	22592
650	3380	22586
651	3386	22581
652	3391	22576
653	3396	22570
654	3401	22565
655	3406	22559
656	3411	22553
657	3417	22548
658	3422	22542
659	3427	22538
660	3433	22536
661	3438	22532
662	3444	22533
663	3450	22530
664	3455	22526
665	3460	22521
666	3466	22516
667	3471	22510
668	3476	22505
669	3481	22502
670	3487	22498
671	3492	22493
672	3497	22489
673	3503	22483
674	3508	22479
675	3513	22474
676	3518	22468
677	3523	22462
678	3529	22458
679	3534	22452
680	3539	22447
681	3545	22444
682	3550	22442
683	3555	22436
684	3560	22430
685	3565	22424
686	3570	22418
687	3576	22413
688	3581	22408
689	3586	22401
690	3591	22394
691	3596	22387
692	3601	22381
693	3606	22374
694	3611	22368
695	3616	22362
696	3621	22356
697	3626	22352
698	3632	22349
699	3637	22345
700	3643	22341
701	3648	22339
702	3654	22334
703	3659	22329
704	3664	22322
705	3669	22316
706	3674	22311
707	3679	22305
708	3684	22298
709	3689	22292
710	3694	22287
711	3700	22285
712	3705	22279
713	3710	22273
714	3715	22267
715	3720	22262
716	3726	22258
717	3731	22252
718	3736	22247
719	3741	22244
720	3746	22237
721	3751	22230
722	3757	22227
723	3762	22221
724	3767	22215
725	3772	22210
726	3777	22202
727	3782	22196
728	3787	22191
729	3792	22185
730	3797	22180
731	3803	22176
732	3808	22169
733	3813	22163
734	3819	22160
735	3824	22154
736	3829	22148
737	3834	22146
738	3840	22143
739	3846	22144
740	3852	22142
741	3857	22137
742	3863	22133
743	3868	22130
744	3874	22127
745	3879	22123
746	3884	22116
747	3889	22111
748	3894	22104
749	3899	22098
750	3904	22093
751	3909	22086
752	3914	22080
753	3920	22074
